,comments,preprocessed comments,sentiment
1187,so the story of david fassbender never will be finished then what was the point of prometheus and covenant,story david fassbender never finished point prometheus covenant,neutral
1188,i hope this xeno isint bigchap,hope xeno isint bigchap,neutral
1189,one has to wonder will this be full of garbage plot holes the way that prometheus was prometheus is so incredibly bad and i know there are people who think its good i guess they dont care about how absolutely ridiculously stupid every character behaves all the time after prometheus and covenant im never watching this franchise again i have liked a lot of ridleys work but you cant keep shooting your own productions in the foot and expect nobody to notice how badly theyre written,one wonder full garbage plot holes way prometheus prometheus incredibly bad know people think good guess dont care absolutely ridiculously stupid every character behaves time prometheus covenant im never watching franchise liked lot ridleys work cant keep shooting productions foot expect nobody notice badly theyre written,positive
1190,what happened to the continuation of covenant when david put the xeno morph egg in all the colonists cryo wtf thats scraped now,happened continuation covenant david put xeno morph egg colonists cryo wtf thats scraped,negative
1191,homer i can hear people scream in space weyland yutani interviewer no you cant mr simpson no one can,homer hear people scream space weyland yutani interviewer cant mr simpson one,neutral
1192,is the image of romulus and remus feeding from the shewolf which is symbolic for the founding of rome,image romulus remus feeding shewolf symbolic founding rome,neutral
1193,as we feared this is for a modern audience its sad that this will get ripped apart no wonder james cameron refused to make another film,feared modern audience sad get ripped apart wonder james cameron refused make another film,negative
1194,hard passwhere is david in this movie,hard passwhere david movie,negative
1195,im pretty sure i got tinnitus after watching this trailer,im pretty sure got tinnitus watching trailer,positive
1196,same stuff yawning face sleeping face,stuff yawning face sleeping face,neutral
1197,the most terrifying thing in this trailer is the fact that hollywood cant stop making movies centered around incredibly annoying stereotypical young adults making mindnumbingly stupid decisions only to further the movie universe,terrifying thing trailer fact hollywood cant stop making movies centered around incredibly annoying stereotypical young adults making mindnumbingly stupid decisions movie universe,negative
1198,cant see diddley squat too dark but i can say that this is a guaranteed turkey,cant see diddley squat dark say guaranteed turkey,negative
